Date,Time,,,Comments,,MAT0001,,,,MAT0002,,,,MAT0003,,,,MAT0004,,,,MAT0005,,,,MAT0006,,,,MAT0007,,,,MAT0008,,,,MAT0009,,,,MAT0010,,
,,UnixTime,kWh metre,,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage,Cycle,Charger,Location,Voltage
"October 1, 2016",0:20,1475281200,,,,,EV002,,,,Rack B,,,,Rack D,61.4,,QS,EV001,,,,Rack C,,,,,,,,EV004,,,,Rack A,,,,,,,,,
"October 1, 2016",5:30,1475299800,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2016",6:20,1475302800,,,,,Rack B,,,QS,EV002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2016",8:30,1475310600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rack A,,,QS,EV004,,,,,,,,,
"October 1, 2016",9:15,1475313300,,,,,,,,off,,,,,,,,,Rack C,,,,EV001,,,,,,,,,,,,,,,,,,,,,
"October 1, 2016",10:00,1475316000,1278.4,,,SC-G,,60.9,,,,,,,,,,SC-G,,60.9,,,,,,,,,,SC-G,,60.9,,,,,,,,,,,,
"October 1, 2016",12:50,1475326200,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,,,off,,,,,,,,,,
"October 1, 2016",21:25,1475357100,,,,,Rack C,60.6,,,,,,QS,EV002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2016",22:20,1475360400,,,,,,,,,,,,,,,,,,,,,,,,,,,,QS,EV004,,,,Rack A,,,,,,,,,
"October 2, 2016",6:00,1475388000,,,,SC-G,,60.7,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,60.8,,,,,,,,
"October 2, 2016",13:30,1475415000,,,,,,,,,,,,,,,,,,,,off,,,,,,,,off,,,,,,,,,,,,,,
"October 2, 2016",20:20,1475439600,1307.7,,,,,65.8,,QS,EV004,,,,,61.3,,,Rack A,58.5,,,,60.8,,,,,,,Rack C,61,,QS,EV002,,,,,,,,,
"October 3, 2016",0:20,1475454000,,,,,Rack B,,,,,,,,Rack D,,,,,,,,EV001,,,,EV003,61.1,,,,,,,,,,,,,,,,
"October 3, 2016",4:20,1475468400,,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,
"October 3, 2016",6:30,1475476200,1132.3,,,,EV003,,,,Rack A,60.6,,,,,,QS,EV004,,,,,,,,Rack B,,,,,,,,,,,,,,,,,
"October 3, 2016",11:30,1475494200,,,,,,,,,,,,,,,,off,,,,QS,,,,,,,,QS,EV002,,,,Rack C,60.6,,,,,,,,
"October 3, 2016",16:00,1475510400,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,,
"October 3, 2016",18:10,1475518200,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,
"October 3, 2016",18:45,1475520300,1324.44,,,SC-G,Rack D,60.8,,SC-G,,61,,QS,EV003,,,,,,,,,,,SC-G,,60.5,,,,,,SC-G,,,,,,,,,,
"October 4, 2016",4:30,1475555400,,,,,,,,,,,,off,,64.4,,,,61.4,,,,,,,,,,,,66.8,,,,,,,,,,,,
"October 4, 2016",6:10,1475561400,,,,,,,,,,,,,,,,,,,,,Rack B,,,QS,EV001,,,,,,,,,,,,,,,,,
"October 4, 2016",8:40,1475570400,,,,,,,,QS,EV004,,,,,,,,Rack A,,,,,,,,,,,,,,,,,,,,,,,,,
"October 4, 2016",9:05,1475571900,,,,,,,,,,,,,,,,,,,,,,,,off,,,,,,,,QS,EV002,,,,,,,,,
"October 4, 2016",12:00,1475582400,,SC-G inscreased to 3.45kW,,EV003,,,,,,,,,Rack D,55.2,,,,58.8,,,,60.9,,,,,,,Rack C,60.8,,,,,,,,,,,,
"October 4, 2016",16:10,1475597400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,
"October 4, 2016",19:00,1475607600,,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 4, 2016",22:30,1475620200,,,,,,,,,,,,,,,,,,,,,,,,QS,,,,,,,,,,,,,,,,,,
"October 5, 2016",5:00,1475643600,1368.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 5, 2016",5:30,1475645400,1369.28,,,,,,,SC-G,Rack D,60.5,,QS,EV004,,,,,,,SC-G,,60.7,,,,,,QS,EV002,,,SC-G,Rack C,60.9,,,,,,,,
"October 5, 2016",9:10,1475658600,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,
"October 5, 2016",12:10,1475669400,,,,,,60.7,,,,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 5, 2016",13:45,1475675100,,,,,,,,,,,,,,,,QS,EV003,,,,,,,,,,,,,,,,,,,,,,,,,
"October 5, 2016",14:20,1475677200,,,,,,,,,,,,,,,,,,,,QS,EV002,,,,,,,,Rack B,,,,,,,,,,,,,
"October 5, 2016",16:20,1475684400,,,,SC-G,Rack A,,,QS,EV004,,,SC-G,Rack D,,,,,,,,,,,SC-G,,,,,Rack B,SC-G,,,,,,,,,,,,
"October 6, 2016",4:50,1475729400,,,,,,,,,,,,,,,,,,61.4,,,,61.4,,off,,,,,,,,,,,,,,,,,,
"October 6, 2016",8:50,1475743800,,,,,,,,,,,,off,,,,,Rack C,,,,Rack B,,,,,,,QS,EV002,,,QS,EV003,,,,,,,,,
"October 6, 2016",10:20,1475749200,,,,QS,EV001,,,SC-G,Rack D,60.7,,,EV004,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,
"October 6, 2016",11:10,1475752200,1412.08,,,,,,,,,,,,,,,Maint #1,,,,SC-G,,60.7,,SC-G,Rack A,61.4,,off,,,,,,,,,,,,,,
"October 6, 2016",14:00,1475762400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QS,,,,,,,,,,
"October 6, 2016",16:00,1475769600,,,,off,,61.9,,,,,,,,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 6, 2016",17:00,1475773200,,,,,,,,,EV002,,,,,,,,,,,,,,,,EV003,,,,Rack D,60.8,,off,,61.9,,,,,,,,
"October 7, 2016",1:20,1475803200,1427.2,,,SC-G,,,,,,,,SC-G,Rack B,,,,,,,,EV004,,,,,,,SC-G,,,,SC-G,Rack A,,,,,,,,,
"October 7, 2016",9:30,1475832600,,,,QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 7, 2016",11:00,1475838000,,,,,,,,,,,,,,,,,,,,,,,,,Rack D,61.4,,,EV003,,,,,,,,,,,,,
"October 7, 2016",13:30,1475847000,,,,,,,,,Rack A,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 7, 2016",14:35,1475850900,1445.4,,,,,,,,,,,,EV004,,,,Rack B,61,,,,,,,,,,,,,,,EV002,,,,,,,,,
"October 7, 2016",17:45,1475862300,,,,,,,,,,,,QS,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,
"October 8, 2016",8:50,1475916600,,,,,Rack D,61.1,,,EV003,,,,,,,,,,,QS,EV002,,,QS,EV001,,,,Rack A,60.7,,,Rack B,60.5,,,,,,,,
"October 8, 2016",9:50,1475920200,1461,,,SC-G,,,,,,,,,,,,,,,,,,,,,,,,SC-G,,,,SC-G,,,,,,,,,,
"October 8, 2016",12:00,1475928000,,,,,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,
"October 8, 2016",14:40,1475937600,,,,,,,,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,,
